CustomerID,Name,Gender,Age,Income,Marital Status,Education,Spending Score,Join Date,Email,City
C027,Grant Vazquez,Other,37,65776,Divorced,Master,97,21-May-2022,invalid.email,Lucknow
C028,Brittany Jones,Female,29,71475,Single,Bachelor,60,18-May-2022,udavis@gmail.com,Mumbai
C029,Lori Stone,Other,49,76381,Widowed,Graduate,85,26-Feb-2019,vlloyd@gmail.com,Bhopal
C030,David Thomas,Male,29,31830,Widowed,Bachelor,NA,13-Jun-2022,mark19@yahoo.com,Lucknow
C031,Melody Martinez,Male,30,88628,Married,Bachelor,42,30-Dec-2021,jose04@yahoo.com,Bhopal
C032,Linda Baker,Other,30,72951,Widowed,NA,49,01-Jun-2024,joshuamartin@hotmail.com,Delhi
C033,Kathryn Robertson,Female,NA,32158,Married,NA,43,08-Nov-2020,dominiquecox@molina-hill.biz,Kolkata
C034,Todd Stephens,Other,57,91782,Divorced,Master,51,21-Dec-2023,cristianromero@hotmail.com,Chennai
C035,Christopher Martinez,Female,36,67705,Widowed,Bachelor,89,08-Sep-2024,rramirez@yahoo.com,Kolkata
C036,Alexander Powell,Female,20,72826,Married,PhD,48,10-Jan-2020,craig92@hotmail.com,Bangalore
C037,William Alvarez MD,Female,NA,76435,Widowed,PhD,83,05-Jun-2023,amanda74@yahoo.com,Bhopal
C038,Barbara Johnson,Female,NA,34039,Divorced,Bachelor,88,15-Dec-2021,singhrichard@phillips-miller.org,Delhi
C039,Robert Dean,Female,24,63384,Widowed,Bachelor,56,19-Nov-2020,lori14@gmail.com,Lucknow
C040,Edwin Avila,Other,57,84211,Married,Master,46,11-Apr-2022,gary18@hotmail.com,Chennai
C041,Patrick Bell,Male,21,76464,Divorced,Graduate,73,19-Jun-2023,jerrybrown@gilbert-rojas.com,Patna
C042,Jacob Brown,Male,54,90334,Widowed,Master,66,21-Sep-2020,omckee@gmail.com,Hyderabad
C043,Eric Lutz,Female,25,98374,Single,Graduate,66,25-Oct-2024,zkemp@hotmail.com,Delhi
C044,Roy Chavez,Other,21,92539,Divorced,Graduate,49,28-Dec-2021,brookestokes@gmail.com,Kolkata
C045,Robert Wallace,Male,33,55379,Single,NA,41,11-Oct-2019,gwatson@gmail.com,Delhi
C046,Brooke Andrade,Other,53,82168,Widowed,NA,NA,29-Oct-2018,tsmith@lopez.net,Raipur
C047,James Robinson Jr.,Other,NA,62263,Single,Master,40,30-Jan-2021,ronald66@yahoo.com,Raipur
C048,Eric Gray,Female,40,62016,Divorced,Bachelor,66,25-Nov-2020,james42@hotmail.com,Chennai
C049,Katie Burton,Other,21,89994,Single,PhD,46,16-Nov-2021,elliottdiane@shaw.com,Kolkata
C050,Elizabeth Patrick,Male,47,31272,Single,NA,59,10-Jul-2019,benjaminjohnson@mills-levy.biz,Delhi
C051,Laura Frank,Male,30,55928,Married,Master,75,24-Jun-2022,xrodriguez@gmail.com,Lucknow
C052,Kathleen Murphy,Other,34,62974,Divorced,Bachelor,55,19-Jul-2024,allison53@curtis.net,Lucknow
C053,Christopher Johnson,Other,60,37155,Divorced,Master,68,25-Jul-2020,mitchelleric@hotmail.com,Chennai
C054,Rachel Johnson,Female,43,65238,Married,Master,46,06-Apr-2021,samuel03@townsend.info,Raipur
C055,Dale Moyer,Other,54,NA,Widowed,PhD,68,14-Mar-2021,christopherbenson@gutierrez.com,Bangalore
C056,Donald Davis,Other,50,59346,Single,Master,51,22-Apr-2022,ellismichael@cole.com,Lucknow
C057,Gabrielle Luna,Other,42,59361,Divorced,Graduate,41,25-May-2019,johnsonbrandon@dunn.biz,Patna
C058,Lisa Harmon,Other,45,43470,Single,PhD,90,25-Sep-2023,graybradley@gmail.com,Mumbai
C059,Aaron Mcintosh,Female,43,96455,Widowed,Bachelor,NA,22-Feb-2020,susanbryant@foster-moreno.com,Hyderabad
C060,Mark Vazquez,Female,22,85704,Widowed,Master,85,03-May-2020,gonzalezjennifer@hotmail.com,Kolkata
C061,Rebecca Anderson,Male,48,71051,Divorced,Bachelor,76,30-Oct-2019,lawrencemckenzie@walsh.org,Raipur
C062,Lori Hicks,Female,56,75152,Divorced,Graduate,NA,13-May-2019,timothy95@yahoo.com,Lucknow
C063,Alexandra Blevins,Other,60,45081,Single,Bachelor,NA,23-Jan-2022,janet41@yahoo.com,Chennai
C064,Anne Cook,Female,NA,69382,Married,Graduate,47,20-Feb-2020,hendricksethan@gomez.com,Kolkata
C065,Brittany Taylor,Other,28,86042,Single,NA,80,15-Dec-2020,whitekimberly@gmail.com,Lucknow
C066,Robert Weaver,Female,56,NA,Single,Master,73,20-Sep-2024,wjohnston@hotmail.com,Bangalore
C067,Nicholas Jackson,Male,45,63907,Widowed,Master,85,06-Sep-2024,invalid.email,Patna
C068,Michael Andrews,Female,38,68755,Single,NA,79,22-Aug-2019,zsmith@pugh-gardner.com,Delhi
C069,Charles Johnson,Male,35,35041,Married,Graduate,93,12-Jan-2019,robertaclark@huffman.info,Patna
C070,Shannon Williamson,Other,55,NA,Divorced,NA,82,02-Jun-2020,iwilson@sanders.com,Mumbai
C071,Jean Rojas,Male,NA,75123,Married,Master,49,11-Apr-2021,margaretmendez@hotmail.com,Raipur
C072,Joshua Smith,Other,40,72564,Single,PhD,90,24-Sep-2018,jason76@yahoo.com,Chennai
C073,Jeffrey Mckee,Male,60,77002,Married,NA,44,17-Apr-2022,aaronlee@gmail.com,Raipur
C074,Mr. Marcus Dean MD,Female,56,96835,Married,Bachelor,79,08-Dec-2020,mooremichelle@yahoo.com,Raipur
C075,Anthony Durham,Female,28,60980,Widowed,NA,NA,09-Sep-2019,dawnbryant@woods.org,Raipur
C076,Charles Johnson,Other,32,60661,Widowed,Bachelor,66,30-Jan-2024,ricepatrick@yahoo.com,Mumbai
C077,John Johnson,Other,23,93157,Single,NA,79,19-Mar-2020,lmaldonado@gmail.com,Bhopal
C078,Jerome Edwards,Female,52,65447,Widowed,Master,52,07-Jul-2024,dbrooks@hotmail.com,Bhopal
C079,Andrew Griffin,Male,NA,98167,Widowed,Graduate,50,30-Jul-2025,ricky52@gmail.com,Chennai
C080,Dawn Anderson,Other,34,35647,Married,Bachelor,79,23-Apr-2019,gsmith@yahoo.com,Hyderabad
C081,Kristen Diaz,Male,48,75311,Married,Master,51,24-Mar-2019,robertsbriana@osborn.com,Lucknow
C082,John Peterson,Female,24,97837,Divorced,Graduate,96,11-Jan-2025,patrick55@miller.com,Raipur
C083,David Silva,Male,53,80437,Married,PhD,80,17-Apr-2021,cwilliams@golden-reynolds.com,Raipur
C084,Lindsey Carney,Other,49,40434,Married,PhD,59,18-Apr-2025,glenndavis@smith.biz,Kolkata
C085,Laura Rice,Male,34,68696,Widowed,NA,70,01-Jan-2022,katelyncasey@berger.com,Raipur
C086,Michael Kramer,Male,23,51000,Single,NA,71,03-May-2019,gabrielle40@prince.net,Delhi
C087,Brandon Nguyen,Other,40,99194,Single,Master,56,12-Sep-2021,hayesjohn@gmail.com,Patna
C088,Lori Smith,Female,29,40857,Divorced,Graduate,NA,18-Sep-2024,david79@gmail.com,Lucknow
C089,Eric Eaton,Male,24,53179,Widowed,Master,63,01-Mar-2019,chelseykramer@carter-jones.net,Hyderabad
C090,Paige Phillips,Male,55,40099,Married,Bachelor,78,15-Mar-2021,cooperandrew@hotmail.com,Patna
C091,Holly Flores,Male,58,74196,Single,NA,83,22-Nov-2023,gabrielblack@yahoo.com,Hyderabad
C092,Mark James,Male,30,43117,Married,Master,53,09-Apr-2024,wendy71@hotmail.com,Raipur
C093,Suzanne Kim,Other,35,50308,Married,PhD,85,19-Jul-2024,kaylabryant@gmail.com,Mumbai
C094,Ariana Thomas,Other,23,NA,Married,PhD,79,19-Feb-2021,ryanmorrison@yahoo.com,Bangalore
C095,Joseph Sullivan,Female,47,31347,Married,NA,84,30-Jul-2021,uburnett@garcia.com,Raipur
C096,Carol Taylor,Other,39,42545,Married,Master,83,12-Sep-2018,sjohnston@gmail.com,Patna
C097,Chelsea Villegas,Other,52,52781,Widowed,Master,93,05-Apr-2020,fletchercarol@gmail.com,Hyderabad
C098,Becky Norman,Male,53,NA,Widowed,Graduate,51,04-Feb-2023,jerrypratt@yahoo.com,Bhopal
C099,Victor Mccann,Female,NA,94257,Married,PhD,74,14-Feb-2019,christine20@nelson-thompson.com,Mumbai
C100,William Bailey,Female,22,64766,Divorced,NA,95,01-Nov-2018,taylor02@ramirez-jordan.org,Bangalore
C101,Mary White,Female,54,47773,Single,Graduate,62,19-Dec-2020,michael61@gmail.com,Patna
C102,Dr. Emily Friedman,Male,34,88595,Divorced,Master,46,27-Feb-2024,guerreroterrence@hensley.com,Patna
C103,Roger Harris,Other,59,59635,Widowed,Graduate,NA,13-Aug-2020,robertskelsey@yahoo.com,Raipur
C104,Nathaniel Watkins,Male,28,46727,Divorced,Graduate,92,16-Nov-2018,martindaniel@huff.com,Bangalore
C105,Megan Trevino,Male,30,58878,Widowed,PhD,41,07-Sep-2018,gfuentes@gmail.com,Hyderabad
C106,Felicia Hughes,Other,45,39178,Single,Graduate,98,24-Dec-2021,kaitlynross@gmail.com,Hyderabad
C107,Elizabeth Chapman,Male,24,45585,Widowed,Graduate,96,09-Jul-2022,robert98@yahoo.com,Bhopal
C108,Laura Figueroa,Female,53,94400,Widowed,PhD,63,04-Jul-2020,powershannah@moon.com,Kolkata
C109,Nicole Rodriguez,Male,22,31498,Single,NA,44,05-Nov-2024,briantaylor@gmail.com,Patna
C110,Michelle Gonzales,Male,39,40975,Married,Master,67,10-Apr-2020,vmiller@gmail.com,Mumbai
C111,Ronald Young,Female,NA,NA,Single,NA,62,14-May-2021,schwartztimothy@rodriguez.com,Bangalore
C112,Patrick Oneal,Male,NA,39528,Married,Graduate,NA,06-Nov-2024,zmoore@hotmail.com,Patna
C113,Dr. Jennifer Wheeler,Other,59,97579,Married,PhD,53,03-Aug-2023,jonathon63@kelly-hudson.com,Chennai
C114,Rachael Brooks,Male,34,80049,Married,Graduate,68,08-Aug-2022,rivasdarren@yahoo.com,Patna
C115,Tamara Herman,Male,56,75649,Single,PhD,60,11-Apr-2023,juarezrick@gmail.com,Raipur
C116,Michael Carey,Female,36,37306,Married,PhD,72,03-Feb-2024,raymond57@yahoo.com,Lucknow
C117,Amy Freeman,Male,48,66038,Married,PhD,73,29-Mar-2025,nfuentes@yahoo.com,Delhi
C118,Megan Romero,Other,26,31225,Widowed,NA,NA,13-Apr-2025,torresdonald@yahoo.com,Delhi
C119,Steven Mclaughlin,Other,40,88607,Widowed,Graduate,93,08-Jul-2021,davidavila@hotmail.com,Bangalore
C120,Robert Nelson,Other,36,42937,Single,Bachelor,77,31-May-2021,denise49@hotmail.com,Kolkata
C121,Mikayla Dominguez,Female,22,57822,Married,Graduate,51,04-Aug-2018,meadowserica@lloyd-abbott.info,Bhopal
C122,Victoria Johnson,Other,27,96904,Single,Bachelor,96,07-Aug-2023,douglaspace@hernandez.org,Raipur
C123,Tammy Oliver,Female,55,97819,Single,Graduate,86,16-Jun-2019,holmespatricia@hotmail.com,Patna
C124,Mr. Mike Oconnor Jr.,Other,60,79512,Single,Bachelor,63,04-Aug-2023,marshalltina@morris.com,Hyderabad
C125,Jamie Cunningham,Male,43,70824,Married,Graduate,91,23-Aug-2020,jorgestevenson@hotmail.com,Lucknow
C126,Nicole Griffin,Female,49,37500,Divorced,PhD,61,03-May-2023,sharon98@gmail.com,Bangalore
C127,Jennifer Jacobs,Other,52,57397,Widowed,PhD,86,15-Aug-2018,rwilliams@williams-shea.com,Lucknow
C128,Allison Lewis,Other,36,68914,Widowed,Bachelor,87,14-Jul-2020,cookbrianna@mills.biz,Mumbai
C129,Megan Carroll,Other,46,NA,Widowed,Bachelor,51,05-Mar-2023,rkelly@yahoo.com,Hyderabad
C130,Patricia Cabrera,Other,34,76031,Widowed,Bachelor,92,22-Apr-2024,kimberly54@morrison.info,Bangalore
C131,Mary Harvey,Other,34,46277,Widowed,NA,59,13-Feb-2022,dharris@yahoo.com,Hyderabad
C132,Dr. Peter Rodriguez,Other,29,81766,Married,Bachelor,45,12-May-2020,james22@palmer.biz,Hyderabad
C133,Donald Parks,Male,21,70974,Married,Master,56,25-Nov-2023,zmartinez@thomas.org,Kolkata
C134,Anne Lyons,Male,28,33289,Widowed,PhD,45,04-Jun-2020,sherryvargas@hotmail.com,Bhopal
C135,Steven Green,Other,21,35213,Divorced,Master,84,28-Oct-2020,jordanwatson@gmail.com,Bhopal
C136,Ryan Jones,Female,21,98698,Widowed,Master,74,15-Dec-2021,invalid.email,Patna
C137,Rhonda Kelly,Other,29,62042,Married,PhD,93,11-Jan-2025,colecox@hotmail.com,Hyderabad
C138,Gina Carpenter,Other,46,91664,Widowed,PhD,52,28-Mar-2025,rwalker@hotmail.com,Lucknow
C139,Marc Stone,Male,60,53112,Widowed,NA,92,29-Aug-2019,steven81@hernandez.com,Chennai
C140,Angela Haney,Other,NA,92817,Married,Graduate,80,07-Apr-2023,timothy86@king.net,Bangalore
C141,Julia Dillon,Male,53,49680,Divorced,Bachelor,50,14-Oct-2018,ebonymorris@jenkins-bennett.com,Bhopal
C142,Carol Anderson,Female,39,31450,Widowed,Graduate,74,07-Dec-2022,treyes@wood-atkinson.com,Chennai
C143,Francisco Myers,Female,40,NA,Single,Graduate,72,19-Sep-2021,bauernatalie@gmail.com,Lucknow
C144,Ryan Salazar,Male,49,48926,Single,Graduate,50,13-Aug-2024,gailmcdaniel@gmail.com,Chennai
C145,Ryan Alvarez,Female,39,NA,Divorced,Graduate,45,30-Jul-2024,awhite@jimenez.com,Kolkata
C146,Mr. Chad Lewis,Other,32,57270,Married,PhD,72,22-Dec-2019,patricia55@hotmail.com,Delhi
C147,Elizabeth Bates,Other,54,96121,Divorced,PhD,47,14-May-2019,jbenson@yahoo.com,Delhi
C148,Lisa Wilkinson,Female,21,80740,Single,Graduate,87,05-Apr-2023,wjensen@horton.com,Kolkata
C149,John Cox,Male,20,61911,Widowed,Bachelor,98,15-Nov-2022,matthewbrown@gmail.com,Raipur
C150,Michelle Jones,Male,NA,53091,Single,Bachelor,82,05-Mar-2023,andrewhall@gmail.com,Kolkata
C151,Jennifer Booth,Male,60,54264,Married,Master,79,11-Jun-2019,jessicashort@shelton-jackson.com,Bangalore
C152,Brandon Cox,Female,23,90527,Divorced,Graduate,45,18-Dec-2019,bridgesholly@franklin-beck.com,Raipur
C153,Gabrielle Chan,Male,39,52507,Widowed,Master,51,05-Oct-2018,karen43@hotmail.com,Mumbai
C154,Kimberly Browning,Other,48,96035,Widowed,Graduate,43,12-Feb-2019,stephanie56@gmail.com,Delhi
C155,Karla Wallace,Female,49,36359,Widowed,Master,NA,10-Jan-2020,aburton@wilcox.org,Chennai
C156,Pamela Ramos,Other,42,46112,Divorced,NA,80,22-Sep-2021,brittanydaniels@ortiz.org,Kolkata
C157,Jessica Sanchez,Female,32,89758,Single,Bachelor,66,07-Jul-2020,murphyashley@evans.info,Delhi
C158,David Ortega,Female,57,70860,Divorced,Bachelor,67,29-Sep-2018,gchang@hotmail.com,Lucknow
C159,Jonathan Reid,Male,28,53575,Married,Graduate,NA,24-Sep-2018,teresa08@hotmail.com,Bangalore
C160,John Allen,Other,22,32704,Single,Bachelor,52,09-Dec-2022,invalid.email,Delhi
C161,Isaiah Anderson,Other,57,30621,Divorced,Bachelor,NA,15-Oct-2020,qbishop@cook.biz,Lucknow
C162,Nicolas Ingram,Other,46,49139,Married,PhD,62,10-Feb-2024,pattonmichelle@roberts.com,Mumbai
C163,Phillip Thomas,Female,23,87473,Single,PhD,58,02-Jun-2025,keyanthony@booker-coleman.com,Hyderabad
C164,Eric Wilson,Other,34,96107,Single,Master,NA,27-Apr-2025,invalid.email,Bhopal
C165,Elizabeth Ware,Female,NA,49921,Married,Bachelor,74,26-May-2025,krystalgoodwin@yahoo.com,Raipur
C166,Jared Webb,Other,43,41873,Divorced,PhD,NA,06-Aug-2020,jeffrey00@hotmail.com,Chennai
C167,Joseph Thompson,Male,23,55075,Widowed,Master,NA,29-Jun-2025,chenelizabeth@yahoo.com,Hyderabad
C168,Matthew Parker,Male,42,32476,Widowed,Graduate,89,18-Mar-2025,wolferegina@reed-hopkins.com,Bhopal
C169,Angela Martinez,Male,26,82265,Divorced,Bachelor,68,20-Aug-2018,rachael94@hotmail.com,Bhopal
C170,Sarah Larson,Female,20,99269,Divorced,Bachelor,NA,22-Jan-2020,whoward@hotmail.com,Bhopal
C171,Guy Peterson,Male,51,57212,Married,Bachelor,67,30-Dec-2018,fchavez@yahoo.com,Lucknow
C172,Paul Cook,Female,48,76888,Widowed,Bachelor,62,05-Sep-2020,scott69@flores.com,Bangalore
C173,Cynthia Clark,Female,41,91467,Divorced,Graduate,99,28-Sep-2022,imassey@gmail.com,Patna
C174,Victoria King,Female,NA,90112,Single,PhD,83,17-Jun-2025,alexanderrussell@hopkins.info,Raipur
C175,Brian Middleton,Other,46,95904,Married,Master,75,21-Apr-2025,lopezamy@patton.org,Kolkata
C176,Jaime Chang,Other,32,42545,Single,NA,100,15-Mar-2019,renee81@moreno.com,Mumbai
C177,Joshua Yoder,Female,49,56861,Widowed,NA,73,12-Mar-2025,sortiz@gmail.com,Delhi
C178,Ellen Sampson,Male,23,67271,Divorced,NA,61,16-Dec-2019,robertvasquez@love.biz,Hyderabad
C179,Mary Maxwell,Female,NA,61820,Single,Master,48,17-Apr-2019,ehamilton@aguilar-wilson.com,Chennai
C180,Margaret Rodriguez,Female,21,69262,Single,PhD,81,27-Nov-2023,toniwilliams@lane.biz,Delhi
C181,Scott Ross,Male,45,36732,Single,Master,62,23-Oct-2024,woodjoseph@arias.com,Bangalore
C182,Cynthia Bell,Other,49,51953,Single,Bachelor,50,31-Jul-2019,elliottrebecca@underwood.org,Lucknow
C183,Toni Wright,Female,39,90069,Divorced,NA,95,20-Feb-2021,charlesedwards@hotmail.com,Patna
C184,Vanessa Ramos,Female,45,99456,Divorced,NA,98,09-Feb-2024,amymartinez@yahoo.com,Bhopal
C185,Kyle Miller,Other,32,39633,Widowed,NA,79,07-Mar-2025,davisbobby@smith.com,Chennai
C186,Cathy Kirby,Female,21,62357,Single,Master,65,25-Jun-2023,amygoodwin@hotmail.com,Raipur
C187,Mary Tucker,Male,37,42240,Single,Master,61,24-Jun-2023,yjohnson@jones.com,Kolkata
C188,Darrell Elliott,Male,54,41354,Divorced,PhD,77,23-Nov-2021,torresashley@hotmail.com,Raipur
C189,John Pratt,Female,59,79147,Divorced,Graduate,63,13-Aug-2023,kjohnson@yahoo.com,Bangalore
C190,Monica Meyers,Male,36,62976,Single,PhD,58,13-Dec-2023,michelletorres@yahoo.com,Patna
C191,Seth Weiss,Female,25,82448,Single,Master,87,13-Jul-2021,awhite@little.com,Mumbai
C192,John Banks,Female,46,92814,Widowed,Bachelor,86,13-Sep-2018,mathewscarla@hotmail.com,Kolkata
C193,Justin Watson,Female,29,81796,Divorced,Graduate,41,05-Jul-2021,invalid.email,Delhi
C194,Aaron Holder,Male,24,87969,Widowed,PhD,58,01-Mar-2021,cantudonald@williamson-willis.com,Lucknow
C195,Tyler Miller,Other,21,43867,Married,Master,57,21-May-2024,moraleswendy@gmail.com,Bhopal
C196,Victor Ferguson,Other,28,38702,Single,PhD,NA,26-May-2023,brandtchristine@williams-thompson.com,Patna
C197,Linda White,Female,32,71547,Divorced,Bachelor,43,26-Jun-2022,charlescowan@reed-rose.com,Patna
C198,Steven Lee,Female,NA,NA,Widowed,Master,79,23-Apr-2023,anitajackson@ellis.biz,Kolkata
C199,Ashley Tran,Female,20,NA,Married,Master,NA,29-Apr-2021,mnunez@moore.biz,Lucknow
C200,Mr. Justin Brown,Female,36,75431,Widowed,Master,83,28-Jul-2025,dgonzales@fowler-lam.com,Bhopal
